Quota,Category,State,Institute,Course,Fee,Stipend Year 1,Bond Years,Bond Penalty,Beds,CR 2023 0,CR 2023 1,CR 2023 2,CR 2023 3,CR 2023 4,CR 2023 5,CR 2023 6,CR 2024 0,CR 2024 1,CR 2024 2,CR 2024 3,CR 2024 4,CR 2024 5
KAR Govt Quota-Open,GM,Karnataka,"Bidar IMS, Bidar",OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,-,-,-,4732(1),3919(1),9826(1),11756(1),18054(1),17784(1)
KAR Priv Seats-Open,OPN,Karnataka,"AJIMS, Mangalore",GENERAL MEDICINE,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",910,5435(1),4794(1),7617(1),-,-,-,-,5554(1),4835(1),6302(1),14097(1),18705(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",PAEDIATRICS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,7073(2),7073(2),13607(2),-,-,-,-,8002(4),7657(4),12310(3),14138(1),-,-
KAR Govt Quota-Open,3AG,Karnataka,Karwar Inst of Med Sciences,OBG,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",650,-,-,-,-,-,-,-,4942(1),4093(1),10242(1),14384(1),19021(1),-
KAR Priv Seats-Min.,RC3,Karnataka,"St John's, Bangalore",GENERAL MEDICINE,"₹12,40,025*","₹45,000",1*,"₹5,00,000*",1720,5504(5),5504(5),13154(5),-,-,-,-,4759(3),4759(3),6199(2),14425(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"Oxford Med Coll, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,9677(1),6546(1),16185(1),17809(1),-,-,-,8681(1),6622(1),13883(1),15206(1),22744(1),-
KAR Govt Quota-Open,2AG,Karnataka,"Mysore Med Coll, Mysore",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,6599(1),7065(1),7065(1),-,-,-,-,5655(2),3525(2),12452(2),15755(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"VIMS (Vydehi), Bangalore",OBG,"₹7,83,858*","₹29,000*",1*,"₹50,00,000*",1600,9456(1),8550(1),11845(1),-,-,-,-,7930(1),7871(1),15426(1),16580(1),25209(1),-
KAR Govt Quota-Open,GM,Karnataka,"DR BR Ambedkar, Bangalore",PAEDIATRICS,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",570,-,-,-,-,-,-,-,5825(1),6143(1),10824(1),17502(1),-,-
KAR Govt Quota-Open,2BG,Karnataka,"Chamrajanagar IMS, Karnataka",GENERAL MEDICINE,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",750,-,-,-,-,-,-,-,2742(1),2742(1),7224(1),17673(1),20303(1),-
KAR Priv Seats-GMP,GMP,Karnataka,"MVJMC&RH, Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,12546(1),8373(1),14384(1),-,-,-,-,-,-,-,17699(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Kempegowda IMS, Bangalore",PAEDIATRICS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,9683(1),7865(1),13862(1),-,-,-,-,10022(3),9483(3),13117(3),17772(1),19475(1),-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1050,4278(1),4009(1),9388(2),-,-,-,-,3665(2),3665(2),9875(2),17808(2),-,-
KAR Govt Quota-Open,GM,Karnataka,"SMC, Shimoga",OBG,"₹7,83,858*",Info not available,1*,"₹50,00,000*",1250,-,-,-,18715(1),-,-,-,11211(1),9493(1),16844(1),18054(1),22690(1),-
KAR Govt Quota-Open,2AG,Karnataka,"SSIMS & RC, Davangere",GENERAL MEDICINE,"₹7,83,858*","₹30,000",1*,"₹50,00,000*",1190,-,-,-,-,-,-,-,5204(1),5758(1),7036(1),18129(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Gadag IMS, Gadag",GENERAL SURGERY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,-,-,-,-,-,-,-,4794(1),5007(1),12086(2),18705(1),22270(1),-
KAR Priv Seats-Open,OPN,Karnataka,"SDM College, Dharwad",PAEDIATRICS,"₹28,75,650*","₹45,000*",1*,"₹50,00,000*",670,16052(2),16052(2),30478(2),-,-,-,-,14761(1),8693(1),16150(1),18870(1),41125(1),-
KAR Govt Quota-Open,2AG,Karnataka,"MVJMC&RH, Bangalore",PAEDIATRICS,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,11574(1),11574(1),18154(1),19475(1),23199(1),-
KAR Govt Quota-Open,GM,Karnataka,"Kempegowda IMS, Bangalore",ORTHOPAEDICS,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1100,11083(1),9682(1),20849(1),-,-,-,-,10438(2),10438(2),14975(2),20189(1),30307(1),-
KAR Govt Quota-Open,GMH,Karnataka,"ESIC Med Coll,Gulbarga",ORTHOPAEDICS,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",480,-,-,-,-,-,-,-,8938(1),8555(1),11687(1),20221(1),20221(1),-
KAR Govt Quota-Open,2AG,Karnataka,"MVJMC&RH, Bangalore",GENERAL MEDICINE,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",833,7729(1),7729(1),9230(1),-,-,-,-,-,-,-,20623(1),20793(1),-
KAR Govt Quota-Open,GM,Karnataka,"Kempegowda IMS, Bangalore",GENERAL SURGERY,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1100,10538(2),9619(2),18289(3),-,-,-,-,5762(1),5762(1),14590(2),20793(1),29249(1),-
KAR Govt Quota-Open,2AH,Karnataka,"MS Ramaiah, Bangalore",PAEDIATRICS,"₹8,08,858*","₹45,000",1*,"₹50,00,000*",1331,-,-,-,-,-,-,-,11341(1),11341(1),13517(1),21410(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Mandya IMS, Mandya",ANAESTHESIOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",Info Not Available,11140(2),11114(2),23447(2),-,-,-,-,8576(3),8266(3),18829(4),21708(1),28728(1),-
KAR Govt Quota-Open,2AG,Karnataka,"Nijalingappa, Bagalkot",DERMATOLOGY,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",1140,-,-,-,-,-,-,-,-,-,18317(1),21963(1),25744(1),-
KAR Priv Seats-GMP,GMPH,Karnataka,"Nijalingappa, Bagalkot",PAEDIATRICS,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1140,-,-,-,-,-,-,-,17911(1),14970(1),19187(1),22627(1),26655(1),-
KAR Priv Seats-GMP,GMP,Karnataka,"KVG Med Coll, Sullia",DERMATOLOGY,"₹13,88,744*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,12548(1),10714(1),15045(1),22786(1),22786(1),-
KAR Govt Quota-Open,2BG,Karnataka,"Father Mullers, Mangalore",PAEDIATRICS,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,9864(1),7224(1),7372(1),22820(1),22820(1),-
KAR Govt Quota-Open,GM,Karnataka,"Dharward IMHANS, Dharwad",PSYCHIATRY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",375,-,-,-,-,-,-,-,2910(1),6209(1),18357(2),22873(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"East Point College,Bangalore",DERMATOLOGY,"₹13,88,744*","₹20,000",1*,"₹50,00,000*",-,-,-,-,-,-,-,-,-,-,-,22998(1),29739(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Navodaya Med Coll, Raichur",PAEDIATRICS,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,12391(1),11840(1),17072(1),-,-,-,-,14149(1),12544(1),18834(1),23289(1),23289(1),-
KAR Priv Seats-Min.,MC,Karnataka,"Father Mullers, Mangalore",DERMATOLOGY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,16669(3),16669(3),9774(1),23561(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"KIMS, Hubli",PSYCHIATRY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,10590(1),6754(1),19966(1),-,-,-,-,5197(1),5197(1),16100(1),23803(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"DR BR Ambedkar, Bangalore",GENERAL SURGERY,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",570,-,-,-,-,-,-,-,12920(1),12830(1),16660(1),24314(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"KVG Med Coll, Sullia",PAEDIATRICS,"₹13,88,744*","₹7,500",1*,"₹50,00,000*",682,13607(1),13325(1),18436(1),-,-,-,-,15426(1),12611(1),17436(1),24395(1),24486(1),-
KAR Govt Quota-Open,GM,Karnataka,"Srinivasa IMS, Srinivasanagar",TBRD,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,-,-,-,-,-,-,-,15240(1),12604(1),18241(1),24622(1),-,-
KAR Govt Quota-Open,3AG,Karnataka,"ESI, Bangalore",ANAESTHESIOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,12473(1),11391(1),16650(1),-,-,-,-,-,-,17291(1),24814(1),24814(1),-
KAR Priv Seats-GMP,GMP,Karnataka,"Nijalingappa, Bagalkot",DERMATOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1140,-,-,-,-,-,-,-,11726(1),7270(1),14747(1),24997(1),24997(1),-
KAR Priv Seats-Min.,ME,Karnataka,"VIMS (Vydehi), Bangalore",GENERAL MEDICINE,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,16596(3),16193(3),16596(3),-,-,-,-,13750(3),12574(3),15118(3),25309(1),25309(1),-
KAR Govt Quota-Open,GM,Karnataka,"BGS IMS, Bangalore",ORTHOPAEDICS,"₹7,83,858*","₹25,000*",1*,"₹50,00,000*",766,-,-,-,-,-,-,-,13677(1),13677(1),19621(1),25546(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"JJM Med Coll, Davangere",ANAESTHESIOLOGY,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,18570(2),15538(2),31178(3),-,-,-,-,14244(2),13172(2),22541(2),25722(1),32271(1),-
KAR Govt Quota-Open,2AG,Karnataka,"VIMS, Bellary",ANAESTHESIOLOGY,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1295,-,-,-,-,-,-,-,9521(1),9521(1),21825(1),25744(1),31118(1),-
KAR Govt Quota-Open,GM,Karnataka,"JJM Med Coll, Davangere",ORTHOPAEDICS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,8359(1),8359(1),18643(1),-,-,-,-,9913(1),7357(1),9913(1),25770(1),25770(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",TBRD,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,-,-,-,-,-,-,-,9990(1),9990(1),-,26655(1),31148(1),-
KAR Govt Quota-Open,3AG,Karnataka,"KVG Med Coll, Sullia",ANAESTHESIOLOGY,"₹7,83,858*","₹7,500",1*,"₹50,00,000*",682,-,-,-,-,-,-,-,25792(1),24226(1),38984(1),26988(1),45818(1),-
KAR Govt Quota-Open,GM,Karnataka,"JJM Med Coll, Davangere",OPHTHALMOLOGY,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,14480(2),14480(2),28579(3),-,-,-,-,9374(1),8981(1),17912(2),27606(1),27606(1),-
KAR Govt Quota-Open,GM,Karnataka,"Raichur IMS, Raichur",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",500,-,-,-,-,169946(1),-,-,23803(1),21003(1),27777(1),27777(1),-,-
KAR Govt Quota-Open,3BG,Karnataka,"MS Ramaiah, Bangalore",ANAESTHESIOLOGY,"₹8,08,858*","₹45,000",1*,"₹50,00,000*",1331,20809(1),20809(1),30232(1),-,-,-,-,20817(1),12695(1),24313(1),28111(1),36479(1),-
KAR Priv Seats-Open,OPN,Karnataka,"SMC, Shimoga",OBG,"₹13,88,744*",Info not available,1*,"₹50,00,000*",1250,-,-,-,22899(1),-,-,-,15130(1),14519(1),20071(1),28575(1),28575(1),-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",SPM,"₹69,150*","₹56,250",3*,"₹50,00,000*",1050,15812(1),18895(1),58559(1),-,-,-,-,20099(1),20745(1),28769(1),28769(1),85910(2),-
KAR Govt Quota-Open,2BG,Karnataka,"Bangalore Med Coll, Bangalore",TBRD,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1993,-,-,-,-,-,-,-,5950(1),5950(1),14063(1),28775(1),28775(1),-
KAR Priv Seats-Open,OPN,Karnataka,"SSIMS & RC, Davangere",TBRD,"₹13,88,744*","₹30,000",1*,"₹50,00,000*",1190,14402(1),10459(1),22382(1),-,-,-,-,14727(1),14657(1),22943(1),29174(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",ORTHOPAEDICS,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,13174(1),11083(1),17913(1),-,-,-,-,17007(3),16553(3),21205(3),29580(1),34672(1),-
KAR Govt Quota-Open,2AG,Karnataka,"JJM Med Coll, Davangere",ORTHOPAEDICS,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,-,-,-,-,-,-,-,15936(1),15936(1),23935(2),29644(1),29644(1),-
KAR Govt Quota-Open,GM,Karnataka,"Basaveswara, Chitradurga",GENERAL SURGERY,"₹7,83,858*","₹5,000*",1*,"₹50,00,000*",500,-,-,-,-,-,-,-,16844(1),17244(1),23955(1),29880(1),34135(1),-
KAR Govt Quota-Open,GM,Karnataka,"Kempegowda IMS, Bangalore",OPHTHALMOLOGY,"₹7,83,858*","₹35,000*",1*,"₹50,00,000*",1100,10256(1),10256(1),28153(1),-,-,-,-,12070(1),10722(1),20567(1),30296(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"Father Mullers, Mangalore",PSYCHIATRY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,10763(1),10763(1),10763(1),30299(1),-,-
KAR Govt Quota-Open,2AG,Karnataka,"JJM Med Coll, Davangere",ANAESTHESIOLOGY,"₹7,83,858*","₹30,000*",1*,"₹50,00,000*",1930,27240(1),20130(1),41090(1),-,-,-,-,24096(1),22318(1),24065(1),31118(1),37273(1),-
KAR Priv Seats-GMP,GMPH,Karnataka,"Kempegowda IMS, Bangalore",OBG,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,15468(1),11095(1),16743(1),-,-,-,-,16243(1),15572(1),18100(1),31146(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Oxford Med Coll, Bangalore",TBRD,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",770,-,-,-,-,-,-,-,18358(1),18094(1),33056(1),31148(1),44878(1),-
KAR Govt Quota-Open,GM,Karnataka,"Akash IMS,Devanhalli,Bangalore",OPHTHALMOLOGY,"₹7,83,858*","₹20,000",1*,"₹50,00,000*",760,21579(1),23308(1),38131(1),-,-,-,-,22800(1),17942(1),30083(1),31173(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"Shridevi IMS, Tumkur",OPHTHALMOLOGY,"₹13,88,744*",Info not available*,1*,"₹50,00,000*",750,28280(1),24693(1),33349(1),79089(1),-,-,-,21262(1),21262(1),40115(1),31175(1),37192(1),-
KAR Govt Quota-Open,GM,Karnataka,"Akash IMS,Devanhalli,Bangalore",ORTHOPAEDICS,"₹7,83,858*","₹20,000",1*,"₹50,00,000*",760,16283(1),13213(1),25683(1),-,-,-,-,-,-,28815(1),31197(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"St John's, Bangalore",ANAESTHESIOLOGY,"₹12,40,025*","₹45,000",1*,"₹5,00,000*",1720,20370(2),20053(2),35913(2),-,-,-,-,15854(2),14705(2),28437(2),31200(1),-,-
KAR Govt Quota-Open,1G,Karnataka,"KIMS, Hubli",ORTHOPAEDICS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",1200,11752(1),11752(1),18226(1),-,-,-,-,-,-,17773(1),31283(1),34392(1),-
KAR Govt Quota-Open,GM,Karnataka,"ESI, Bangalore",PHARMACOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,-,-,-,-,-,-,-,38993(1),31335(1),46248(2),31335(1),31335(1),-
KAR Govt Quota-Open,GM,Karnataka,"AIMS, Adichunchanagiri, Bellur",GENERAL SURGERY,"₹7,83,858*","₹23,750",1*,"₹50,00,000*",1120,11460(1),11156(1),20358(1),-,-,-,-,13165(3),13165(3),21420(4),31673(2),32404(1),-
KAR Govt Quota-Open,GM,Karnataka,"Sapthagiri IMS&RC, Bangalore",ANAESTHESIOLOGY,"₹8,09,608*","₹10,000*",1*,"₹50,00,000*",500,28899(5),24618(5),48050(7),56912(1),-,-,-,25594(6),20281(6),36360(12),31717(1),31717(1),-
KAR Priv Seats-GMP,GMP,Karnataka,"Navodaya Med Coll, Raichur",OBG,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,-,-,-,-,-,-,-,17879(2),16813(2),23402(2),31722(1),30688(1),-
KAR Govt Quota-Open,2BH,Karnataka,"MVJMC&RH, Bangalore",DERMATOLOGY,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,25581(1),24994(1),30558(1),31726(1),31726(1),-
KAR Govt Quota-Open,GM,Karnataka,"Mysore Med Coll, Mysore",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",1050,12936(2),16750(2),44378(3),44378(1),-,-,-,-,-,32059(2),32059(2),32059(1),-
KAR Govt Quota-Open,SCG,Karnataka,"Kidwai Memorial, Bangalore",RADIO DIAGNOSIS,"₹1,24,150*","₹56,250",3*,"₹50,00,000*",680,-,-,-,-,-,-,-,2723(1),2299(1),7041(1),32148(1),32148(1),-
KAR Govt Quota-Open,GM,Karnataka,"Kanachur IMS, Mangalore",GENERAL SURGERY,"₹7,83,858*",Info not available,1*,"₹50,00,000*",785,18371(1),14463(1),31803(1),-,-,-,-,18231(1),17338(1),24272(1),32224(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"SMC, Shimoga",ANAESTHESIOLOGY,"₹7,83,858*",Info not available,1*,"₹50,00,000*",1250,-,-,-,-,-,-,-,26465(1),19617(1),31442(1),32271(1),34465(1),-
KAR Priv Seats-GMP,GMPH,Karnataka,"JJM Med Coll, Davangere",OPHTHALMOLOGY,"₹13,88,744*","₹30,000*",1*,"₹50,00,000*",1930,30300(1),30272(1),32197(1),-,-,-,-,35121(1),22316(1),35121(1),32404(1),37799(1),-
KAR Govt Quota-Open,GM,Karnataka,"MVJMC&RH, Bangalore",ANAESTHESIOLOGY,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",833,-,-,44005(1),-,-,-,-,21704(1),17280(1),31407(1),32502(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Father Mullers, Mangalore",PATHOLOGY,"₹2,07,777*","₹35,000*",1*,"₹50,00,000*",1250,-,-,70784(1),59125(1),-,-,-,32470(1),32732(1),32732(1),32732(1),32732(1),-
KAR Govt Quota-Open,GM,Karnataka,"Shri Atal Bihari Vajpayee, BLR",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",956,-,-,46618(1),-,-,-,-,18721(1),18721(1),33189(1),33189(1),51986(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Al-Ameen, Bijapur",OBG,"₹13,88,744*","₹9,000*",1*,"₹50,00,000*",1040,15039(1),11512(1),22013(1),20432(1),-,-,-,16076(1),15314(1),20896(1),33222(1),28111(1),-
KAR Govt Quota-Open,GM,Karnataka,"MVJMC&RH, Bangalore",GENERAL SURGERY,"₹7,83,858*","₹10,000*",1*,"₹50,00,000*",833,-,-,-,-,-,-,-,-,-,-,33510(1),33623(1),-
KAR Govt Quota-Open,3BG,Karnataka,"Mysore Med Coll, Mysore",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",1050,-,-,-,-,-,-,-,21712(1),15892(1),34190(1),34190(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"MRMC, Gulbarga",ENT,"₹7,83,858*","₹8,000*",1*,"₹50,00,000*",1038,-,-,-,-,-,-,-,21616(1),18231(1),35220(1),34205(1),34205(1),-
KAR Priv Seats-Open,OPN,Karnataka,"MRMC, Gulbarga",PSYCHIATRY,"₹13,88,744*","₹8,000*",1*,"₹50,00,000*",1038,-,-,-,-,-,-,-,23084(1),23084(1),23084(1),34239(1),34239(1),-
KAR Priv Seats-Open,OPN,Karnataka,"VIMS (Vydehi), Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹29,000*",1*,"₹50,00,000*",1600,-,-,-,-,-,-,-,26043(1),21258(1),36261(1),34266(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"MS Ramaiah, Bangalore",PATHOLOGY,"₹2,32,777*","₹45,000",1*,"₹50,00,000*",1331,-,-,59125(3),-,-,-,-,11730(1),11730(1),31200(1),34451(1),34451(1),-
KAR Govt Quota-Open,GM,Karnataka,"Bangalore Med Coll, Bangalore",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",1993,8497(1),7175(1),36385(2),46511(1),46511(1),-,-,15546(2),14250(2),24651(3),34685(3),46581(2),-
KAR Govt Quota-Open,GM,Karnataka,"ESIC Med Coll,Gulbarga",PATHOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",480,-,-,-,-,-,-,-,-,-,34960(1),34960(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"ESI, Bangalore",PATHOLOGY,"₹2,50,000*","₹1,11,780*",2*,"₹10,00,000*",530,16750(1),18226(1),46229(2),39888(1),-,-,-,17295(1),16690(1),30299(1),35260(1),-,-
KAR Govt Quota-Open,GM,Karnataka,"Srinivasa IMS, Srinivasanagar",ENT,"₹8,08,858*","₹29,000*",1*,"₹50,00,000*",660,-,-,-,-,-,-,-,23341(1),21815(1),29995(1),35684(1),34685(1),-
KAR Priv Seats-Open,OPN,Karnataka,"MVJMC&RH, Bangalore",GENERAL SURGERY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",833,14468(1),14468(1),25402(1),-,-,-,-,16848(1),16848(1),29289(1),35925(1),-,-
KAR Govt Quota-Open,2AG,Karnataka,"Shridevi IMS, Tumkur",ENT,"₹7,83,858*",Info not available*,1*,"₹50,00,000*",750,-,-,-,-,-,-,-,33068(1),30291(1),39224(1),35982(1),35982(1),-
KAR Priv Seats-Open,OPN,Karnataka,"Kempegowda IMS, Bangalore",ANAESTHESIOLOGY,"₹13,88,744*","₹35,000*",1*,"₹50,00,000*",1100,23823(1),23114(1),35860(1),-,-,-,-,25435(4),24621(4),34702(4),36260(1),36932(1),-
KAR Govt Quota-Open,3AG,Karnataka,"Bangalore Med Coll, Bangalore",PATHOLOGY,"₹69,150*","₹56,250",3*,"₹50,00,000*",1993,-,-,-,-,-,-,-,-,-,36339(1),36339(1),-,-
KAR Priv Seats-Open,OPN,Karnataka,"MS Ramaiah, Bangalore",PATHOLOGY,"₹4,40,750*","₹45,000",1*,"₹50,00,000*",1331,34341(1),32098(1),50176(1),-,-,-,-,36932(2),36040(2),36932(2),36932(1),40136(1),-
KAR Priv Seats-GMP,GMP,Karnataka,"St John's, Bangalore",RADIATION ONCOLOGY,"₹12,05,025*","₹45,000",1*,"₹5,00,000*",1720,-,-,-,-,-,-,-,22206(1),13757(1),34379(1),36989(1),-,-
KAR Priv Seats-GMP,GMP,Karnataka,"Navodaya Med Coll, Raichur",OPHTHALMOLOGY,"₹13,88,744*","₹10,000*",1*,"₹50,00,000*",1110,-,-,-,-,-,-,-,30844(1),31182(1),42225(1),37192(1),54598(1),-
